"alcaldia","nombre_colonia","clave_colonia","año","mes","casos_positivos"
"ALVARO OBREGON","ACUEDUCTO","10-002",2021,"Julio",74
"ALVARO OBREGON","ACUEDUCTO","10-002",2021,"Marzo",42
"ALVARO OBREGON","ACUEDUCTO","10-002",2021,"Septiembre",35
"ALVARO OBREGON","ACUEDUCTO","10-002",2022,"Enero",238
"ALVARO OBREGON","ACUEDUCTO","10-002",2022,"Febrero",23
"ALVARO OBREGON","ACUILOTLA","10-003",2020,"Diciembre",20
"ALVARO OBREGON","ACUILOTLA","10-003",2021,"Agosto",276
"ALVARO OBREGON","ACUILOTLA","10-003",2021,"Enero",165
"ALVARO OBREGON","ACUILOTLA","10-003",2021,"Julio",69
"ALVARO OBREGON","ACUILOTLA","10-003",2021,"Octubre",6
"ALVARO OBREGON","ACUILOTLA","10-003",2021,"Septiembre",57
"ALVARO OBREGON","ACUILOTLA","10-003",2022,"Enero",265
"ALVARO OBREGON","ACUILOTLA","10-003",2022,"Febrero",76
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2020,"Diciembre",471
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2020,"Noviembre",58
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2020,"Octubre",5
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2020,"Septiembre",10
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2021,"Agosto",509
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2021,"Enero",344
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2021,"Febrero",174
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2021,"Julio",249
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2021,"Junio",36
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2021,"Marzo",121
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2021,"Noviembre",5
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2021,"Octubre",15
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2021,"Septiembre",116
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2022,"Enero",360
"ALVARO OBREGON","AGUILAS 3ER PARQUE","10-005",2022,"Febrero",54
"ALVARO OBREGON","AGUILAS PILARES","10-006",2020,"Diciembre",143
"ALVARO OBREGON","AGUILAS PILARES","10-006",2021,"Agosto",110
"ALVARO OBREGON","AGUILAS PILARES","10-006",2021,"Enero",251
"ALVARO OBREGON","AGUILAS PILARES","10-006",2021,"Febrero",80
"ALVARO OBREGON","AGUILAS PILARES","10-006",2021,"Julio",50
"ALVARO OBREGON","AGUILAS PILARES","10-006",2022,"Enero",114
"ALVARO OBREGON","AGUILAS PILARES","10-006",2022,"Febrero",5
"ALVARO OBREGON","ALCANTARILLA","10-007",2020,"Diciembre",5
"ALVARO OBREGON","ALCANTARILLA","10-007",2021,"Enero",82
"ALVARO OBREGON","ALCANTARILLA","10-007",2022,"Enero",98
"ALVARO OBREGON","ALFALFAR","10-008",2020,"Diciembre",229
"ALVARO OBREGON","ALFALFAR","10-008",2020,"Noviembre",45
"ALVARO OBREGON","ALFALFAR","10-008",2021,"Agosto",48
"ALVARO OBREGON","ALFALFAR","10-008",2021,"Enero",481
"ALVARO OBREGON","ALFALFAR","10-008",2021,"Febrero",50
"ALVARO OBREGON","ALFALFAR","10-008",2021,"Julio",208
"ALVARO OBREGON","ALFALFAR","10-008",2021,"Marzo",47
"ALVARO OBREGON","ALFALFAR","10-008",2021,"Septiembre",46
"ALVARO OBREGON","ALFALFAR","10-008",2022,"Enero",509
"ALVARO OBREGON","ALFALFAR","10-008",2022,"Febrero",29
"ALVARO OBREGON","ALFONSO XIII","10-009",2020,"Diciembre",1072
"ALVARO OBREGON","ALFONSO XIII","10-009",2020,"Noviembre",507
"ALVARO OBREGON","ALFONSO XIII","10-009",2020,"Octubre",262
"ALVARO OBREGON","ALFONSO XIII","10-009",2020,"Septiembre",38
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Abril",249
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Agosto",983
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Diciembre",58
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Enero",1074
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Febrero",742
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Julio",985
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Junio",193
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Marzo",614
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Mayo",39
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Octubre",116
"ALVARO OBREGON","ALFONSO XIII","10-009",2021,"Septiembre",245
"ALVARO OBREGON","ALFONSO XIII","10-009",2022,"Enero",1786
"ALVARO OBREGON","ALFONSO XIII","10-009",2022,"Febrero",299
"ALVARO OBREGON","ALPES","10-010",2020,"Diciembre",556
"ALVARO OBREGON","ALPES","10-010",2020,"Noviembre",38
"ALVARO OBREGON","ALPES","10-010",2021,"Agosto",235
"ALVARO OBREGON","ALPES","10-010",2021,"Diciembre",66
"ALVARO OBREGON","ALPES","10-010",2021,"Enero",336
"ALVARO OBREGON","ALPES","10-010",2021,"Febrero",201
"ALVARO OBREGON","ALPES","10-010",2021,"Julio",204
"ALVARO OBREGON","ALPES","10-010",2021,"Junio",32
"ALVARO OBREGON","ALPES","10-010",2021,"Marzo",78
"ALVARO OBREGON","ALPES","10-010",2021,"Mayo",5
"ALVARO OBREGON","ALPES","10-010",2021,"Septiembre",21
"ALVARO OBREGON","ALPES","10-010",2022,"Enero",488
"ALVARO OBREGON","ALPES","10-010",2022,"Febrero",42
"ALVARO OBREGON","ALPES (AMPL)","10-011",2020,"Diciembre",141
"ALVARO OBREGON","ALPES (AMPL)","10-011",2020,"Noviembre",51
"ALVARO OBREGON","ALPES (AMPL)","10-011",2020,"Octubre",6
"ALVARO OBREGON","ALPES (AMPL)","10-011",2021,"Abril",28
"ALVARO OBREGON","ALPES (AMPL)","10-011",2021,"Agosto",100
"ALVARO OBREGON","ALPES (AMPL)","10-011",2021,"Diciembre",17
"ALVARO OBREGON","ALPES (AMPL)","10-011",2021,"Enero",199
"ALVARO OBREGON","ALPES (AMPL)","10-011",2021,"Julio",25
"ALVARO OBREGON","ALPES (AMPL)","10-011",2021,"Marzo",6
"ALVARO OBREGON","ALPES (AMPL)","10-011",2022,"Enero",231
"ALVARO OBREGON","ARBOLEDAS POLITOCO","10-015",2021,"Agosto",20
"ALVARO OBREGON","ARBOLEDAS POLITOCO","10-015",2021,"Enero",119
"ALVARO OBREGON","ARBOLEDAS POLITOCO","10-015",2021,"Septiembre",5
"ALVARO OBREGON","ARBOLEDAS POLITOCO","10-015",2022,"Enero",26
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2020,"Diciembre",211
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2020,"Noviembre",32
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2020,"Octubre",8
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2021,"Abril",89
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2021,"Agosto",173
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2021,"Enero",218
