"alcaldia","nombre_colonia","clave_colonia","año","mes","casos_positivos"
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2020,"Septiembre",392
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Abril",251
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Agosto",955
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Diciembre",260
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Enero",1535
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Febrero",720
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Julio",727
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Junio",189
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Marzo",508
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Mayo",189
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Noviembre",68
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Octubre",213
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2021,"Septiembre",225
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2022,"Enero",7970
"ALVARO OBREGON","JARDINES DEL PEDREGAL","10-091",2022,"Febrero",1485
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2020,"Diciembre",578
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2020,"Noviembre",143
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2020,"Octubre",48
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2020,"Septiembre",96
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Abril",73
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Agosto",754
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Diciembre",135
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Enero",846
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Febrero",599
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Julio",893
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Junio",68
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Marzo",313
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Mayo",6
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Noviembre",39
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Octubre",43
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2021,"Septiembre",299
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2022,"Enero",1470
"ALVARO OBREGON","JOSE MARIA PINO SUAREZ","10-092",2022,"Febrero",151
"ALVARO OBREGON","JURISTAS","10-093",2020,"Diciembre",10
"ALVARO OBREGON","JURISTAS","10-093",2020,"Octubre",39
"ALVARO OBREGON","JURISTAS","10-093",2021,"Agosto",48
"ALVARO OBREGON","JURISTAS","10-093",2021,"Enero",37
"ALVARO OBREGON","JURISTAS","10-093",2021,"Febrero",88
"ALVARO OBREGON","JURISTAS","10-093",2022,"Enero",28
"ALVARO OBREGON","LA ANGOSTURA","10-094",2020,"Diciembre",127
"ALVARO OBREGON","LA ANGOSTURA","10-094",2020,"Noviembre",21
"ALVARO OBREGON","LA ANGOSTURA","10-094",2020,"Septiembre",10
"ALVARO OBREGON","LA ANGOSTURA","10-094",2021,"Abril",152
"ALVARO OBREGON","LA ANGOSTURA","10-094",2021,"Agosto",134
"ALVARO OBREGON","LA ANGOSTURA","10-094",2021,"Enero",355
"ALVARO OBREGON","LA ANGOSTURA","10-094",2021,"Febrero",15
"ALVARO OBREGON","LA ANGOSTURA","10-094",2021,"Julio",28
"ALVARO OBREGON","LA ANGOSTURA","10-094",2021,"Marzo",67
"ALVARO OBREGON","LA ANGOSTURA","10-094",2021,"Noviembre",22
"ALVARO OBREGON","LA ANGOSTURA","10-094",2021,"Octubre",11
"ALVARO OBREGON","LA ANGOSTURA","10-094",2022,"Enero",297
"ALVARO OBREGON","LA ANGOSTURA","10-094",2022,"Febrero",89
"ALVARO OBREGON","LA ARAA","10-095",2020,"Noviembre",58
"ALVARO OBREGON","LA CAADA","10-096",2020,"Diciembre",194
"ALVARO OBREGON","LA CAADA","10-096",2020,"Noviembre",31
"ALVARO OBREGON","LA CAADA","10-096",2020,"Octubre",7
"ALVARO OBREGON","LA CAADA","10-096",2021,"Agosto",30
"ALVARO OBREGON","LA CAADA","10-096",2021,"Enero",26
"ALVARO OBREGON","LA CAADA","10-096",2021,"Julio",10
"ALVARO OBREGON","LA CAADA","10-096",2022,"Enero",28
"ALVARO OBREGON","LA CASCADA","10-097",2020,"Diciembre",281
"ALVARO OBREGON","LA CASCADA","10-097",2020,"Noviembre",15
"ALVARO OBREGON","LA CASCADA","10-097",2021,"Abril",179
"ALVARO OBREGON","LA CASCADA","10-097",2021,"Agosto",603
"ALVARO OBREGON","LA CASCADA","10-097",2021,"Enero",450
"ALVARO OBREGON","LA CASCADA","10-097",2021,"Febrero",37
"ALVARO OBREGON","LA CASCADA","10-097",2021,"Julio",215
"ALVARO OBREGON","LA CASCADA","10-097",2021,"Marzo",162
"ALVARO OBREGON","LA CASCADA","10-097",2021,"Mayo",5
"ALVARO OBREGON","LA CASCADA","10-097",2021,"Septiembre",194
"ALVARO OBREGON","LA CASCADA","10-097",2022,"Enero",377
"ALVARO OBREGON","LA CASCADA","10-097",2022,"Febrero",72
"ALVARO OBREGON","LA CEBADA (AMPL)","10-098",2020,"Diciembre",199
"ALVARO OBREGON","LA CEBADA (AMPL)","10-098",2020,"Octubre",57
"ALVARO OBREGON","LA CEBADA (AMPL)","10-098",2021,"Enero",211
"ALVARO OBREGON","LA CEBADA (AMPL)","10-098",2021,"Febrero",30
"ALVARO OBREGON","LA CEBADA (AMPL)","10-098",2021,"Julio",71
"ALVARO OBREGON","LA CEBADA (AMPL)","10-098",2021,"Marzo",25
"ALVARO OBREGON","LA CEBADA (AMPL)","10-098",2022,"Enero",134
"ALVARO OBREGON","LA CEBADA (AMPL)","10-098",2022,"Febrero",49
"ALVARO OBREGON","LA CONCHITA","10-100",2020,"Diciembre",439
"ALVARO OBREGON","LA CONCHITA","10-100",2020,"Noviembre",57
"ALVARO OBREGON","LA CONCHITA","10-100",2020,"Octubre",40
"ALVARO OBREGON","LA CONCHITA","10-100",2021,"Abril",77
"ALVARO OBREGON","LA CONCHITA","10-100",2021,"Agosto",404
"ALVARO OBREGON","LA CONCHITA","10-100",2021,"Enero",314
"ALVARO OBREGON","LA CONCHITA","10-100",2021,"Febrero",78
"ALVARO OBREGON","LA CONCHITA","10-100",2021,"Julio",401
"ALVARO OBREGON","LA CONCHITA","10-100",2021,"Junio",65
"ALVARO OBREGON","LA CONCHITA","10-100",2021,"Marzo",228
"ALVARO OBREGON","LA CONCHITA","10-100",2021,"Mayo",5
"ALVARO OBREGON","LA CONCHITA","10-100",2021,"Octubre",18
"ALVARO OBREGON","LA CONCHITA","10-100",2021,"Septiembre",127
"ALVARO OBREGON","LA CONCHITA","10-100",2022,"Enero",702
"ALVARO OBREGON","LA CONCHITA","10-100",2022,"Febrero",93
"ALVARO OBREGON","LA HERRADURA","10-101",2020,"Diciembre",52
"ALVARO OBREGON","LA HERRADURA","10-101",2021,"Agosto",15
"ALVARO OBREGON","LA HERRADURA","10-101",2021,"Enero",5
"ALVARO OBREGON","LA HERRADURA","10-101",2021,"Julio",55
"ALVARO OBREGON","LA HERRADURA","10-101",2022,"Enero",64
"ALVARO OBREGON","LA HUERTA","10-102",2021,"Enero",53
"ALVARO OBREGON","LA JOYA","10-103",2020,"Diciembre",280
"ALVARO OBREGON","LA JOYA","10-103",2020,"Noviembre",165
"ALVARO OBREGON","LA JOYA","10-103",2020,"Octubre",25
"ALVARO OBREGON","LA JOYA","10-103",2021,"Agosto",342
"ALVARO OBREGON","LA JOYA","10-103",2021,"Enero",298
"ALVARO OBREGON","LA JOYA","10-103",2021,"Febrero",70
"ALVARO OBREGON","LA JOYA","10-103",2021,"Julio",165
"ALVARO OBREGON","LA JOYA","10-103",2021,"Marzo",91
"ALVARO OBREGON","LA JOYA","10-103",2021,"Octubre",58
"ALVARO OBREGON","LA JOYA","10-103",2021,"Septiembre",51
"ALVARO OBREGON","LA JOYA","10-103",2022,"Enero",660
"ALVARO OBREGON","LA JOYA","10-103",2022,"Febrero",107
"ALVARO OBREGON","LA LOMA","10-104",2021,"Diciembre",49
"ALVARO OBREGON","LA LOMA","10-104",2021,"Enero",72
"ALVARO OBREGON","LA LOMA","10-104",2022,"Enero",233
"ALVARO OBREGON","LA LOMA","10-104",2022,"Febrero",11
"ALVARO OBREGON","LA MARTINICA","10-105",2020,"Diciembre",1669
"ALVARO OBREGON","LA MARTINICA","10-105",2020,"Noviembre",610
"ALVARO OBREGON","LA MARTINICA","10-105",2020,"Octubre",322
"ALVARO OBREGON","LA MARTINICA","10-105",2020,"Septiembre",354
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Abril",415
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Agosto",2209
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Diciembre",48
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Enero",1824
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Febrero",1023
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Julio",1511
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Junio",470
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Marzo",811
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Mayo",236
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Noviembre",61
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Octubre",281
"ALVARO OBREGON","LA MARTINICA","10-105",2021,"Septiembre",835
"ALVARO OBREGON","LA MARTINICA","10-105",2022,"Enero",2679
"ALVARO OBREGON","LA MARTINICA","10-105",2022,"Febrero",419
"ALVARO OBREGON","LA MEXICANA","10-106",2020,"Diciembre",818
"ALVARO OBREGON","LA MEXICANA","10-106",2020,"Noviembre",119
"ALVARO OBREGON","LA MEXICANA","10-106",2020,"Octubre",186
"ALVARO OBREGON","LA MEXICANA","10-106",2020,"Septiembre",25
"ALVARO OBREGON","LA MEXICANA","10-106",2021,"Abril",128
"ALVARO OBREGON","LA MEXICANA","10-106",2021,"Agosto",731
"ALVARO OBREGON","LA MEXICANA","10-106",2021,"Diciembre",17
"ALVARO OBREGON","LA MEXICANA","10-106",2021,"Enero",633
"ALVARO OBREGON","LA MEXICANA","10-106",2021,"Febrero",348
"ALVARO OBREGON","LA MEXICANA","10-106",2021,"Julio",609
"ALVARO OBREGON","LA MEXICANA","10-106",2021,"Junio",88
"ALVARO OBREGON","LA MEXICANA","10-106",2021,"Marzo",234
"ALVARO OBREGON","LA MEXICANA","10-106",2021,"Octubre",30
"ALVARO OBREGON","LA MEXICANA","10-106",2021,"Septiembre",250
"ALVARO OBREGON","LA MEXICANA","10-106",2022,"Enero",1633
"ALVARO OBREGON","LA MEXICANA","10-106",2022,"Febrero",468
"ALVARO OBREGON","LA MEXICANA (AMPL)","10-013",2020,"Diciembre",146
"ALVARO OBREGON","LA MEXICANA (AMPL)","10-013",2020,"Octubre",15
"ALVARO OBREGON","LA MEXICANA (AMPL)","10-013",2021,"Agosto",31
"ALVARO OBREGON","LA MEXICANA (AMPL)","10-013",2021,"Febrero",42
"ALVARO OBREGON","LA MEXICANA (AMPL)","10-013",2021,"Julio",44
"ALVARO OBREGON","LA MEXICANA (AMPL)","10-013",2021,"Marzo",44
"ALVARO OBREGON","LA MEXICANA (AMPL)","10-013",2022,"Enero",189
"ALVARO OBREGON","LA MEXICANA (AMPL)","10-013",2022,"Febrero",14
"ALVARO OBREGON","LA MILAGROSA","10-107",2021,"Agosto",214
"ALVARO OBREGON","LA MILAGROSA","10-107",2021,"Enero",16
"ALVARO OBREGON","LA MILAGROSA","10-107",2021,"Febrero",10
"ALVARO OBREGON","LA MILAGROSA","10-107",2021,"Julio",35
"ALVARO OBREGON","LA MILAGROSA","10-107",2021,"Junio",24
"ALVARO OBREGON","LA MILAGROSA","10-107",2021,"Septiembre",21
"ALVARO OBREGON","LA MILAGROSA","10-107",2022,"Enero",159
"ALVARO OBREGON","LA OTRA BANDA","10-108",2022,"Enero",78
"ALVARO OBREGON","LA PALMITA","10-109",2020,"Diciembre",82
"ALVARO OBREGON","LA PALMITA","10-109",2021,"Agosto",123
"ALVARO OBREGON","LA PALMITA","10-109",2021,"Enero",120
"ALVARO OBREGON","LA PALMITA","10-109",2021,"Febrero",98
"ALVARO OBREGON","LA PALMITA","10-109",2021,"Julio",182
"ALVARO OBREGON","LA PALMITA","10-109",2021,"Marzo",57
"ALVARO OBREGON","LA PALMITA","10-109",2021,"Octubre",6
"ALVARO OBREGON","LA PALMITA","10-109",2021,"Septiembre",10
"ALVARO OBREGON","LA PALMITA","10-109",2022,"Enero",191
"ALVARO OBREGON","LA PALMITA","10-109",2022,"Febrero",35
"ALVARO OBREGON","LA PERA XOCHINAHUAC (U HAB)","10-110",2021,"Agosto",28
"ALVARO OBREGON","LA PERA XOCHINAHUAC (U HAB)","10-110",2021,"Enero",19
"ALVARO OBREGON","LA PERA XOCHINAHUAC (U HAB)","10-110",2021,"Febrero",11
"ALVARO OBREGON","LA PERA XOCHINAHUAC (U HAB)","10-110",2021,"Septiembre",78
"ALVARO OBREGON","LA PERA XOCHINAHUAC (U HAB)","10-110",2022,"Enero",150
"ALVARO OBREGON","LA PERA XOCHINAHUAC (U HAB)","10-110",2022,"Febrero",32
"ALVARO OBREGON","LA PRESA","10-111",2021,"Agosto",125
"ALVARO OBREGON","LA PRESA","10-111",2021,"Enero",5
"ALVARO OBREGON","LA PRESA","10-111",2021,"Febrero",127
"ALVARO OBREGON","LA PRESA","10-111",2021,"Octubre",20
"ALVARO OBREGON","LA PRESA","10-111",2021,"Septiembre",10
"ALVARO OBREGON","LA PRESA","10-111",2022,"Enero",266
"ALVARO OBREGON","LA PRESA","10-111",2022,"Febrero",10
"ALVARO OBREGON","LA PRESA SECCION HORNOS","10-112",2020,"Diciembre",129
"ALVARO OBREGON","LA PRESA SECCION HORNOS","10-112",2021,"Agosto",160
"ALVARO OBREGON","LA PRESA SECCION HORNOS","10-112",2021,"Enero",76
"ALVARO OBREGON","LA PRESA SECCION HORNOS","10-112",2021,"Febrero",69
"ALVARO OBREGON","LA PRESA SECCION HORNOS","10-112",2021,"Julio",97
"ALVARO OBREGON","LA PRESA SECCION HORNOS","10-112",2021,"Marzo",26
"ALVARO OBREGON","LA PRESA SECCION HORNOS","10-112",2022,"Enero",367
"ALVARO OBREGON","LA PRESA SECCION HORNOS","10-112",2022,"Febrero",59
"ALVARO OBREGON","LADERA GRANDE O LA CEBADITA","10-113",2020,"Octubre",8
"ALVARO OBREGON","LADERA GRANDE O LA CEBADITA","10-113",2022,"Enero",55
"ALVARO OBREGON","LAS AGUILAS","10-114",2020,"Diciembre",485
"ALVARO OBREGON","LAS AGUILAS","10-114",2020,"Noviembre",120
"ALVARO OBREGON","LAS AGUILAS","10-114",2020,"Octubre",21
"ALVARO OBREGON","LAS AGUILAS","10-114",2021,"Abril",20
"ALVARO OBREGON","LAS AGUILAS","10-114",2021,"Agosto",228
"ALVARO OBREGON","LAS AGUILAS","10-114",2021,"Diciembre",21
"ALVARO OBREGON","LAS AGUILAS","10-114",2021,"Enero",521
"ALVARO OBREGON","LAS AGUILAS","10-114",2021,"Febrero",270
"ALVARO OBREGON","LAS AGUILAS","10-114",2021,"Julio",412
"ALVARO OBREGON","LAS AGUILAS","10-114",2021,"Marzo",189
"ALVARO OBREGON","LAS AGUILAS","10-114",2021,"Octubre",43
"ALVARO OBREGON","LAS AGUILAS","10-114",2021,"Septiembre",94
"ALVARO OBREGON","LAS AGUILAS","10-114",2022,"Enero",556
"ALVARO OBREGON","LAS AGUILAS","10-114",2022,"Febrero",40
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2020,"Diciembre",909
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2020,"Noviembre",112
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2020,"Octubre",126
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2020,"Septiembre",160
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Abril",97
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Agosto",774
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Diciembre",123
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Enero",1321
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Febrero",501
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Julio",701
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Junio",113
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Marzo",300
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Mayo",41
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Octubre",127
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2021,"Septiembre",212
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2022,"Enero",1738
"ALVARO OBREGON","LAS AGUILAS (AMPL)","10-115",2022,"Febrero",154
"ALVARO OBREGON","LAS AGUILAS SECC HORNOS","10-116",2020,"Diciembre",16
"ALVARO OBREGON","LAS AGUILAS SECC HORNOS","10-116",2020,"Noviembre",44
"ALVARO OBREGON","LAS AGUILAS SECC HORNOS","10-116",2021,"Septiembre",16
"ALVARO OBREGON","LAS AGUILAS SECC HORNOS","10-116",2022,"Enero",159
"ALVARO OBREGON","LAS CUEVITAS","10-118",2020,"Diciembre",372
"ALVARO OBREGON","LAS CUEVITAS","10-118",2020,"Noviembre",90
"ALVARO OBREGON","LAS CUEVITAS","10-118",2021,"Abril",37
"ALVARO OBREGON","LAS CUEVITAS","10-118",2021,"Agosto",208
"ALVARO OBREGON","LAS CUEVITAS","10-118",2021,"Enero",213
"ALVARO OBREGON","LAS CUEVITAS","10-118",2021,"Febrero",141
"ALVARO OBREGON","LAS CUEVITAS","10-118",2021,"Julio",278
"ALVARO OBREGON","LAS CUEVITAS","10-118",2021,"Junio",10
"ALVARO OBREGON","LAS CUEVITAS","10-118",2021,"Marzo",85
"ALVARO OBREGON","LAS CUEVITAS","10-118",2021,"Octubre",6
"ALVARO OBREGON","LAS CUEVITAS","10-118",2021,"Septiembre",64
"ALVARO OBREGON","LAS CUEVITAS","10-118",2022,"Enero",853
"ALVARO OBREGON","LAS CUEVITAS","10-118",2022,"Febrero",120
"ALVARO OBREGON","LAS PALMAS","10-119",2020,"Diciembre",271
"ALVARO OBREGON","LAS PALMAS","10-119",2020,"Noviembre",134
"ALVARO OBREGON","LAS PALMAS","10-119",2020,"Octubre",12
"ALVARO OBREGON","LAS PALMAS","10-119",2020,"Septiembre",15
"ALVARO OBREGON","LAS PALMAS","10-119",2021,"Agosto",132
"ALVARO OBREGON","LAS PALMAS","10-119",2021,"Enero",220
"ALVARO OBREGON","LAS PALMAS","10-119",2021,"Febrero",140
"ALVARO OBREGON","LAS PALMAS","10-119",2021,"Julio",92
"ALVARO OBREGON","LAS PALMAS","10-119",2021,"Septiembre",110
"ALVARO OBREGON","LAS PALMAS","10-119",2022,"Enero",277
"ALVARO OBREGON","LAS PALMAS","10-119",2022,"Febrero",39
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2020,"Diciembre",91
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2020,"Noviembre",5
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2020,"Octubre",6
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2020,"Septiembre",25
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2021,"Agosto",147
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2021,"Enero",72
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2021,"Febrero",10
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2021,"Julio",182
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2021,"Septiembre",8
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2022,"Enero",403
"ALVARO OBREGON","LIBERACION PROLETARIA","10-120",2022,"Febrero",66
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2020,"Diciembre",380
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2020,"Noviembre",95
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Abril",194
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Agosto",863
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Diciembre",5
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Enero",561
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Febrero",353
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Julio",794
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Junio",48
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Marzo",244
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Mayo",136
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Octubre",347
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2021,"Septiembre",176
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2022,"Enero",1172
"ALVARO OBREGON","LIBERALES DE 1857","10-121",2022,"Febrero",305
"ALVARO OBREGON","LLANO REDONDO","10-122",2020,"Diciembre",121
"ALVARO OBREGON","LLANO REDONDO","10-122",2020,"Octubre",20
"ALVARO OBREGON","LLANO REDONDO","10-122",2021,"Abril",5
"ALVARO OBREGON","LLANO REDONDO","10-122",2021,"Agosto",178
"ALVARO OBREGON","LLANO REDONDO","10-122",2021,"Enero",112
"ALVARO OBREGON","LLANO REDONDO","10-122",2021,"Febrero",10
"ALVARO OBREGON","LLANO REDONDO","10-122",2021,"Julio",155
"ALVARO OBREGON","LLANO REDONDO","10-122",2021,"Junio",22
"ALVARO OBREGON","LLANO REDONDO","10-122",2021,"Marzo",89
"ALVARO OBREGON","LLANO REDONDO","10-122",2021,"Septiembre",61
"ALVARO OBREGON","LLANO REDONDO","10-122",2022,"Enero",269
"ALVARO OBREGON","LLANO REDONDO","10-122",2022,"Febrero",28
"ALVARO OBREGON","LOMAS DE AXOMIATLA","10-123",2022,"Enero",54
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2020,"Diciembre",1212
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2020,"Noviembre",304
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2020,"Octubre",169
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2020,"Septiembre",254
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Abril",328
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Agosto",1151
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Diciembre",30
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Enero",1253
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Febrero",724
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Julio",902
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Junio",196
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Marzo",364
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Mayo",24
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Octubre",117
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2021,"Septiembre",281
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2022,"Enero",1928
"ALVARO OBREGON","LOMAS DE BECERRA","10-124",2022,"Febrero",289
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2020,"Diciembre",471
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2020,"Noviembre",46
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2020,"Octubre",21
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Abril",7
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Agosto",560
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Diciembre",19
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Enero",472
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Febrero",147
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Julio",375
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Junio",10
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Marzo",106
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Mayo",35
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Octubre",12
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2021,"Septiembre",28
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2022,"Enero",917
"ALVARO OBREGON","LOMAS DE BECERRA (U HAB)","10-125",2022,"Febrero",148
"ALVARO OBREGON","LOMAS DE BECERRA ARVIDE (U HAB)","10-126",2020,"Diciembre",259
"ALVARO OBREGON","LOMAS DE BECERRA ARVIDE (U HAB)","10-126",2020,"Noviembre",36
"ALVARO OBREGON","LOMAS DE BECERRA ARVIDE (U HAB)","10-126",2021,"Agosto",168
"ALVARO OBREGON","LOMAS DE BECERRA ARVIDE (U HAB)","10-126",2021,"Enero",361
"ALVARO OBREGON","LOMAS DE BECERRA ARVIDE (U HAB)","10-126",2021,"Febrero",53
"ALVARO OBREGON","LOMAS DE BECERRA ARVIDE (U HAB)","10-126",2021,"Julio",166
"ALVARO OBREGON","LOMAS DE BECERRA ARVIDE (U HAB)","10-126",2021,"Septiembre",65
"ALVARO OBREGON","LOMAS DE BECERRA ARVIDE (U HAB)","10-126",2022,"Enero",350
"ALVARO OBREGON","LOMAS DE BECERRA ARVIDE (U HAB)","10-126",2022,"Febrero",72
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2020,"Diciembre",668
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2020,"Noviembre",230
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2020,"Octubre",182
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2020,"Septiembre",138
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2021,"Abril",215
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2021,"Agosto",1217
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2021,"Diciembre",30
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2021,"Enero",1124
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2021,"Febrero",429
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2021,"Julio",480
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2021,"Junio",12
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2021,"Marzo",303
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2021,"Mayo",20
"ALVARO OBREGON","LOMAS DE CAPULA","10-127",2021,"Octubre",288
